,"k-means clusters 500, (Joules)"
98,2.6394238119785e-20
99,2.912114369705574e-20
100,2.0875429750374112e-20
101,3.164484046075225e-20
102,2.969835493284069e-20
103,3.398819201987526e-20
104,2.4369860546275225e-20
105,2.6701962270242093e-20
106,2.4450764167461778e-20
107,2.3977739654948356e-20
108,2.4715893773669838e-20
109,3.0915781019311174e-20
110,2.4884375959629266e-20
111,2.5322446071666155e-20
112,2.6413632589015518e-20
113,2.379910664817561e-20
114,2.2072424376720844e-20
115,2.2832410711241515e-20
116,2.3723455801914764e-20
117,2.978442999258468e-20
118,2.7749825836605057e-20
119,3.042911737406905e-20
120,2.6511738346286623e-20
121,3.112358517879361e-20
122,3.75793042627614e-20
123,2.597748499601023e-20
124,2.390270057127082e-20
125,3.093072942762502e-20
126,3.2162769723967816e-20
127,2.7070324372831754e-20
128,2.4412832690730255e-20
129,2.336237383118802e-20
130,3.300785638341965e-20
131,2.4017618502788327e-20
132,2.713928504005491e-20
133,2.762166043077797e-20
134,2.863822601590686e-20
135,2.964058069658696e-20
136,3.7442271884381916e-20
137,2.4969890075942477e-20
138,2.6838258947710325e-20
139,2.197792095584034e-20
140,2.4290524756158872e-20
141,3.199547269544116e-20
142,2.757908348341749e-20
143,2.2811439842643972e-20
144,2.929750731184787e-20
145,2.350048296520225e-20
146,2.5833905460993368e-20
147,2.6100632239807778e-20
148,2.845736024445587e-20
149,2.716814473495867e-20
150,2.6286720824286118e-20
151,3.431274051245628e-20
152,2.483698843594481e-20
153,2.4941965955010912e-20
154,2.3224418514895646e-20
155,2.575681661650253e-20
156,2.890061015601541e-20
157,2.532852517702661e-20
158,2.898566102066293e-20
159,2.3592424879675074e-20
160,2.1167121686868954e-20
161,2.248781634290078e-20
162,3.3770785205781194e-20
163,2.1329664063202587e-20
164,2.4988992543118262e-20
165,3.7104843408672863e-20
166,2.6479464213449895e-20
167,3.150524128268167e-20
168,3.0707223798043974e-20
169,2.969074002112996e-20
170,2.677011632181084e-20
171,2.2617729273915084e-20
172,2.1214467703523096e-20
173,2.5806649659732882e-20
174,2.737927942338522e-20
175,2.773171536085066e-20
176,2.755692957361632e-20
177,2.5145791526164937e-20
178,2.4692768670553847e-20
179,2.6192709070599654e-20
180,2.7595580735790885e-20
181,3.2645764114269024e-20
182,3.103348725417603e-20
183,2.357779149417016e-20
184,2.2110020999691883e-20
185,3.0971503773530866e-20
186,3.522172763062058e-20
187,3.0080736119392954e-20
188,2.8608504493491125e-20
189,2.606825505036812e-20
190,2.4048206236083495e-20
191,3.5235717667285403e-20
192,2.5166340758763098e-20
193,3.466512281270222e-20
194,2.4985546553621504e-20
195,4.018130728844177e-20
196,2.8753798954552165e-20
197,2.3431374316454283e-20
198,3.206064766923277e-20
199,2.0719869046599385e-20
200,2.746795302026466e-20
201,2.8278312265112123e-20
202,2.367653770209011e-20
203,2.4041424806456795e-20
204,3.3636430381327044e-20
205,2.257149403969477e-20
206,2.5849892836334378e-20
207,3.8660322947878975e-20
208,2.6785716996005e-20
209,2.392390184129781e-20
210,2.31386208828489e-20
211,2.610885121862905e-20
212,2.6451338327556895e-20
213,2.2208174066804032e-20
214,3.089761868474982e-20
215,2.3259618605166985e-20
216,2.554699457529568e-20
217,3.199531108867239e-20
218,2.541828899268487e-20
219,3.33623144495858e-20
220,2.704997454358828e-20
221,2.7349887023039216e-20
222,2.600625466452866e-20
223,2.282527953079632e-20
224,2.3816643449093438e-20
225,2.1487738436428866e-20
226,2.6060208025140398e-20
227,3.637149967624755e-20
228,2.307261762554555e-20
229,3.579573632057175e-20
230,3.0734730508811487e-20
231,4.077135650352859e-20
232,2.623508333965688e-20
233,3.203792276033744e-20
234,2.3789055613758596e-20
235,2.735731308462442e-20
236,3.1372930886500855e-20
237,2.4371099522966027e-20
238,3.0534563205127145e-20
239,2.495115576286536e-20
240,2.1466998397597938e-20
241,2.7432641791703296e-20
242,2.6495809548896868e-20
243,2.6837037296717422e-20
244,2.1688756220666402e-20
245,2.3754737054478852e-20
246,3.1008488425943476e-20
247,2.4726986152081264e-20
248,2.3948645442346408e-20
249,2.1753801707735275e-20
250,2.2384900021404298e-20
251,2.974218302205023e-20
252,3.1486273505454513e-20
253,3.767403312518557e-20
254,2.9059540119238805e-20
255,2.652756083798089e-20
256,3.037163114416657e-20
257,2.5764380680431375e-20
258,3.640881376507335e-20
259,3.944129571639362e-20
260,2.8359372444862327e-20
261,2.2153849018518853e-20
262,2.5276518003737636e-20
263,3.349882436816223e-20
264,2.581554275054107e-20
265,2.9888854525440773e-20
266,3.07420202406666e-20
267,2.5164825207735765e-20
268,3.678798819899083e-20
269,2.483393279363833e-20
270,2.5533224432947784e-20
271,2.6110189813163643e-20
272,2.6950199285616467e-20
273,2.33692085222349e-20
274,2.5703500066051587e-20
275,2.802383343287083e-20
276,2.5317065182363432e-20
277,3.1819933297978135e-20
278,2.3161732138663713e-20
279,3.406591151815409e-20
280,3.062719691955614e-20
281,2.342645978058666e-20
282,2.3440739478353644e-20
283,2.4651814598313807e-20
284,2.325041467691184e-20
285,3.440321079792279e-20
286,2.3033242505485033e-20
287,2.994186109403878e-20
288,2.4055527995894662e-20
289,2.8127661978153086e-20
290,2.738821325935668e-20
291,2.155809227929941e-20
292,2.4288152305779034e-20
293,2.6540694261220455e-20
294,2.748499352350759e-20
295,2.4366349486185504e-20
296,3.1287106459812025e-20
297,2.8368523259905654e-20
298,2.58391666220884e-20
299,2.4714775529678437e-20
300,2.595686432315786e-20
301,3.3553509594031213e-20
302,2.4262609489024116e-20
303,2.5788533960743674e-20
304,3.275800165444227e-20
305,2.516683693302885e-20
306,2.553734979268978e-20
307,3.253456250765299e-20
308,2.725341094085131e-20
309,2.282175220291996e-20
310,2.805118518236191e-20
311,2.467472118775974e-20
312,2.7077196275649306e-20
313,2.5190124883219155e-20
