,"k-means clusters 500, (Joules)"
192,3.1678150689945856e-20
193,2.227476633922222e-20
194,3.9142433925032157e-20
195,3.121689626507677e-20
196,2.1440327437750625e-20
197,3.6282787442416514e-20
198,3.2649943775587926e-20
199,3.636500965224607e-20
200,3.494684691696481e-20
201,3.3545227387046174e-20
202,3.479078554815886e-20
203,3.5929604905876135e-20
204,3.335567659551349e-20
205,3.6409963751639734e-20
206,3.441576673677271e-20
207,1.6370242226800853e-20
208,2.5981509212881248e-20
209,3.5246987505385816e-20
210,3.4239554242679355e-20
211,3.2980791887358687e-20
212,4.064929357138807e-20
213,3.262714508228355e-20
214,2.897813819387862e-20
215,3.547893987441364e-20
216,3.2554955528264126e-20
217,3.472910119721794e-20
218,3.5270318423340964e-20
219,3.5432491377073264e-20
220,1.8215835792863184e-20
221,3.436305870570761e-20
222,3.5098213437523653e-20
223,3.450296395618646e-20
224,3.235119749130675e-20
225,3.466892254978333e-20
226,1.513853817378843e-20
227,3.308956028833477e-20
228,2.7066266106449705e-20
229,3.502827068443645e-20
230,3.508165196971504e-20
231,3.282075787298422e-20
232,3.479038266216499e-20
233,2.938233481210292e-20
234,3.4646057415516145e-20
235,3.300548377728549e-20
236,1.9535792583679108e-20
237,3.5245297717345255e-20
238,3.5883217967247676e-20
239,1.9430834201324508e-20
240,3.882015448412155e-20
241,4.0392075572724556e-20
242,3.2461887230821314e-20
243,3.2560260391079337e-20
244,3.218126228513929e-20
245,3.513830589524065e-20
246,3.0920559886097916e-20
247,3.4157249562932596e-20
248,1.7838487285090962e-20
249,2.203039349872843e-20
250,3.118904313374618e-20
251,3.471840539314345e-20
252,1.9883195123035124e-20
253,3.26707582831498e-20
254,2.2530031961067585e-20
255,2.0173429700309722e-20
256,3.158058092980256e-20
257,3.6828549786411574e-20
258,3.365983733066309e-20
259,2.22553436932456e-20
260,3.5751749206739273e-20
261,1.8402753246021842e-20
262,3.327351871528707e-20
263,2.008846547763674e-20
264,3.285853128364699e-20
265,3.625340035335394e-20
266,3.4446441918459986e-20
267,3.204078180111883e-20
268,2.8934939094735665e-20
269,3.481595320824964e-20
270,2.2731172337124993e-20
271,3.346493576599667e-20
272,3.586048928473624e-20
273,3.671813711987309e-20
274,3.486495898107125e-20
275,2.7637275271770104e-20
276,3.501880496565568e-20
277,3.410335870376483e-20
278,3.3657519097806524e-20
279,3.415131635861763e-20
280,3.6525619268256304e-20
281,3.6622857160723704e-20
282,1.7925787435966644e-20
283,3.01254181940386e-20
284,3.465472687493738e-20
285,3.2596687718803195e-20
286,2.472058633257628e-20
287,3.164732695517279e-20
288,2.0676834873356485e-20
289,3.8276318241841356e-20
290,1.557497262265125e-20
291,3.3560191917679826e-20
292,3.304017575874183e-20
293,3.6513007907157243e-20
294,2.977702199498109e-20
295,3.6624230418847154e-20
296,2.4728559319518687e-20
297,3.6620101960209435e-20
298,2.9928198725075514e-20
299,2.0339954536013216e-20
300,3.3278836148726664e-20
301,1.910248078232312e-20
302,3.596277245163783e-20
303,2.8911311723106094e-20
304,3.660990751182226e-20
305,3.262545090041429e-20
306,3.667019100414769e-20
307,3.603387230076549e-20
308,2.9057096706325575e-20
309,3.4377851185729526e-20
310,3.4408327036362455e-20
311,1.6541055370330995e-20
312,2.458159325027165e-20
313,3.858469808891513e-20
314,3.8800231503146506e-20
315,3.1746585436403164e-20
316,3.7413836785944194e-20
317,2.987220885040014e-20
318,3.3173804360698246e-20
319,3.136207441940527e-20
320,3.512186537795172e-20
321,3.591653419489191e-20
322,2.997931884451412e-20
323,3.470030613907421e-20
324,3.3961463031079453e-20
325,1.749157708121194e-20
326,4.0068548919905335e-20
327,3.672574880611616e-20
328,3.397230690430962e-20
329,3.402913525402903e-20
330,3.274849796834629e-20
331,3.596769818768908e-20
332,3.2257101451023653e-20
333,3.6929272037424337e-20
334,3.950591433765006e-20
335,3.1733882116041376e-20
336,3.477446050065383e-20
337,3.4375223937577406e-20
338,3.3208089193203184e-20
339,1.62245355071996e-20
340,3.6202128379785843e-20
341,3.463882292269138e-20
342,3.5917408561601467e-20
343,3.505304731784207e-20
344,3.687282063271235e-20
345,2.1607866354008202e-20
346,3.202232472202589e-20
347,3.4589762269627614e-20
348,3.60290781988437e-20
349,2.95099845350234e-20
350,3.4674211208610127e-20
351,2.3834618908925933e-20
352,1.6906075793287225e-20
353,3.708885124571316e-20
354,2.257119792194078e-20
355,3.308442612485413e-20
356,2.4180135058471994e-20
357,3.637609317505908e-20
358,3.781855397455558e-20
359,3.734347726093706e-20
360,3.448748114681964e-20
361,3.395499029649875e-20
362,3.457500399272043e-20
